key : rut ; number of keys : 384 ; time : 0.000000
key : ruta ; number of keys : 3240 ; time : 0.000000
key : rutab ; number of keys : 758160 ; time : 2.000000
key : rutaba ; number of keys : 26357760 ; time : 81.000000
key : 1234 ; number of keys : 1 ; time : 0.000000
key : 1234 ; number of keys : 1 ; time : 0.000000
key : 1234 ; number of keys : 0 ; time : 0.000000
key : 1234 ; number of keys : 1 ; time : 0.000000
key : Clef1 ; number of keys : 2 ; time : 0.000000
key : rutaba ; number of keys : 4 ; time : 0.000000
key : rutabaga ; number of keys : 2 ; time : 0.000000
key : rutabaga ; number of keys : 122472 ; time : 0.000000
key : rutabaga ; number of keys : 0 ; time : 0.000000
key : rutabaga ; number of keys : 0 ; time : 0.000000
key : toto ; number of keys : 0 ; time : 0.000000
key : ruta ; number of keys : 0 ; time : 0.000000
key : rutabaga ; number of keys : 0 ; time : 0.000000
key : rutabaga ; number of keys : 0 ; time : 8.000000
key : rutabaga ; number of keys : 345266064 ; time : 7.000000
key : rutabaga ; number of keys : 5954588640 ; time : 116.000000 (16 threads)
key : rutabaga ; number of keys : 5954588640 ; time : 97.000000 (threads only on l.0)
key : rutabaga ; number of keys : 5954588640 ; time : 131.000000 (8 threads)
key : chat ; number of keys : 5700 ; time : 1.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
text : ../script/CRACK/tests/crypted_crack/1234_msg2.txt ; number of keys : 63504 ; time : 0.000000
